" Ноутбук Gateway GWTN156 Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB DDR4, 128GB SSD+1TB HDD, Intel® UHD Graphics 605, 15.6"" LED FULL HD(1920x1080), WiFi, BT, Cam, Win10 S, серый, бесшумный [GWTN156-11BK](*id 12) https://www.link.kg/catalog/1/41493315",*  22755.6 ⊆   *,252 $
" Lenovo IP3 Celeron DC N4020 1.1-2.8GHz,4GB,SSD 480GB,15.6""HD,RUS,DOS HDMI, BLACK https://www.link.kg/catalog/1/41503187",*  22755.6 ⊆   *,252 $
" Lenovo IP3 Celeron N4020 1.1-2.8GHz,4GB,1TB,15.6"" FHD,RUS,DOS HDMI, BLACK https://www.link.kg/catalog/1/41503189",*  23116.8 ⊆   *,256 $
" Notebook YEPO Silver Intel Quad Core J3455 (up to 2.3Ghz), 8GB, 128GB SSD, Intel HD Graphics, 15.6"" IPS FULL HD (1920x1080), WiFi, BT, HD WebCam, UltraSlim, Eng-Rus https://www.link.kg/catalog/1/41373539",*  23929.5 ⊆   *,265 $
" Ноутбук Gateway GWTN156 Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB DDR4, 128GB SSD+500GB SSD, Intel® UHD Graphics 605, 15.6"" LED FULL HD(1920x1080), WiFi, BT, Cam, Win10 S, серый, бесшумный [GWTN156-11BK](*id 12) https://www.link.kg/catalog/1/41493313",*  23748.9 ⊆   *,263 $
" новая позиция1Ноутбук HP 250 G8 Intel Celeron N4020 (1.10-2.80GHz), 8GB DDR4, 480GB SSD, Intel UHD Graphics 600, 15.6""HD LED, WiFi, Bluetooth, LAN, DOS, бесшумный, серый(*id 12) https://www.link.kg/catalog/1/41493327",*  23929.5 ⊆   *,265 $
" Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374251",*  25103.4 ⊆   *,278 $
" Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374241",*  25284 ⊆   *,280 $
" Lenovo V15 G4 AMN (82YU0044UE) AMD Atlon Silver 7120U (up to 3.5Ghz), 15.6"" LED FULL HD (1920 x 1080), 8GB DDR5-4800Mhz, 128GB SSD PCIe NVMe M.2, AMD Radeon 610M Graphics, WiFi, BT 5.1, HD 720P Cam, LAN, RJ45, USB Type-C, замок Kensington, Eng-Rus DO https://www.link.kg/catalog/1/41488261",*  26548.2 ⊆   *,294 $
" Ноутбук Lenovo V14-82C2 Intel N4020 1.1-2.8GHz,4GB,1TB,14""HD,HDMI, IRON GRAY,NO DVDRW,Rus+Eng+сумка https://www.link.kg/catalog/1/41503514",*  27090 ⊆   *,300 $
" Lenovo V15 G4 AMN (82YU0044UE) AMD Atlon Silver 7120U (up to 3.5Ghz), 15.6"" LED FULL HD (1920 x 1080), 8GB DDR5-4800Mhz, 256GB SSD PCIe 4.0x4 NVMe M.2, AMD Radeon 610M Graphics, WiFi, BT 5.1, HD 720P Cam, LAN, RJ45, USB Type-C, замок Kensington, Eng- https://www.link.kg/catalog/1/41488262",*  26999.7 ⊆   *,299 $
" Lenovo IdeaPad 3 15IGL05 (81WQ00JBRK) Intel Pentium N5030 (Quard 4 ядра, 4 потока up to 3.1Ghz), 15.6"" LED FULL HD (1920 x 1080) IPS, 8GB, 120GB SSD, Intel HD Graphics 605, Wi-Fi, BT5.0, Cam, DOS, Eng-Rus, PLATINUM GREY https://www.link.kg/catalog/1/41488273",*  27090 ⊆   *,300 $
" Ноутбук Gateway ULTRA SLIM i3-1115G4 (up to 4.1Ghz), 4GB, 128GB SSD M.2, HD Graphics 620, 15.6"" FULL HD LED, WiFi, BT, Cam, Win11, чехол и мышь в комплекте, серый [GWNC31514-BK](*id 12) https://www.link.kg/catalog/1/41493215",*  25735.5 ⊆   *,285 $
" Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 128GB SSD, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374244",*  26457.9 ⊆   *,293 $
" Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 1TB, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374243",*  26638.5 ⊆   *,295 $
" Lenovo V14 Celeron DC N4020 1.1-2.8GHz,4GB,1TB,14""HD,RUS,DOS HDMI, IRON GRAY ( СЦ) https://www.link.kg/catalog/1/41503211",*  26096.7 ⊆   *,289 $
" Lenovo IdeaPad 3 15IGL05 (81WQ00JBRK) Intel Pentium N5030 (Quard 4 ядра, 4 потока up to 3.1Ghz), 15.6"" LED FULL HD (1920 x 1080) IPS, 8GB, 256GB SSD, Intel HD Graphics 605, Wi-Fi, BT5.0, Cam, DOS, Eng-Rus, PLATINUM GREY https://www.link.kg/catalog/1/41488274",*  27541.5 ⊆   *,305 $
" HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 500GB, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374371",*  26638.5 ⊆   *,295 $
" Lenovo V15 i3-10110U 2.1-4.1 GHz,4GB,SSD 120GB,15.6""HD,RUS,DOS HDMI, IRON GRAY https://www.link.kg/catalog/1/41503175",*  26548.2 ⊆   *,294 $
" Lenovo Ideapad 3 Silver Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 256GB SSD, Intel HD Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374245",*  27090 ⊆   *,300 $
" Acer Aspire A315-34 Black Intel N4020 (up to 2.8Ghz), 4GB, 256GB M.2 NVMe PCIe, Intel HD Graphics, 15.6"" LED FULL HD (1920x1080), WiFi, LAN RJ45, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41375138",*  27090 ⊆   *,300 $
" Lenovo Ideapad V14 Iron Gray Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 512GB M.2 NVMe PCIe, AMD Radeon™ Graphics, 14.0"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374250",*  27180.3 ⊆   *,301 $
" Lenovo V15 G4 AMN (82YU0044UE) AMD Atlon Silver 7120U (up to 3.5Ghz), 15.6"" LED FULL HD (1920 x 1080), 8GB DDR5-4800Mhz, 512GB SSD PCIe NVMe M.2, AMD Radeon 610M Graphics, WiFi, BT 5.1, HD 720P Cam, LAN, RJ45, USB Type-C, замок Kensington, Eng-Rus DO https://www.link.kg/catalog/1/41488279",*  28354.2 ⊆   *,314 $
" Lenovo V15 i3-10110U 2.1-4.1 GHz,4GB,SSD 240GB,15.6""HD,RUS,DOS HDMI, IRON GRAY https://www.link.kg/catalog/1/41503172",*  26999.7 ⊆   *,299 $
" Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 1TB, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374234",*  27541.5 ⊆   *,305 $
" HP 250 G8 Black Intel Dual Core N4020 (up to 2.8Ghz), 4GB, 256GB SSD, Intel HD Graphics, 15.6"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374364",*  27541.5 ⊆   *,305 $
" Ноутбук Dell 5470 Intel Celeron N4100 (1.10-2.40GHz), 4GB DDR4, 128GB SSD, UHD Graphics 600, 14""FHD (1920x1080) Touch LED, WiFi ac, BT 5.0, WC, CR, Win 10 Pro, Backlit Русская клавиатура, Black https://www.link.kg/catalog/1/41499782",*  27631.8 ⊆   *,306 $
" Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 4GB, 256GB SSD, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374239",*  27993 ⊆   *,310 $
" Lenovo Ideapad S145-15API Silver AMD 3020e (up to 2.6Ghz), 8GB, 500GB, AMD Radeon™ Graphics, 15.6"" LED, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374223",*  27993 ⊆   *,310 $
" Lenovo IP3 i3-10110U 2.1-4.1GHz, 4GB, 1TB, 15.6""FHD RUS, HDMI, ABYSS BLUE https://www.link.kg/catalog/1/41503191",*  27541.5 ⊆   *,305 $
" HP 240 G8 Black Intel Pentium Quad Core N5030 (up to 3.1Ghz), 4GB, 500GB, Intel HD Graphics, 14"" LED HD, WiFi, BT, Cam, DOS, Eng-Rus https://www.link.kg/catalog/1/41374348",*  28083.3 ⊆   *,311 $
" Ноутбук Lenovo Ideapad 3-15IML05 Intel Core i3-10110U (up to 4.1Ghz), 15.6"" FHD (1920х1080), 4GB, 256GB SSD, Integrated Intel® UHD Graphic, WiFi, BT 5.0, Cam, PLATINUM GRAY [81WB00YWUE](*id 12) https://www.link.kg/catalog/1/41493153",*  27631.8 ⊆   *,306 $
" Lenovo IdeaPad 3 15IGL05 (81WQ00JBRK) Intel Pentium N5030 (Quard 4 ядра, 4 потока up to 3.1Ghz), 15.6"" LED FULL HD (1920 x 1080) IPS, 8GB, 1TB + 128GB SSD SSD PCIe NVMe M.2, Intel HD Graphics 605, Wi-Fi, BT5.0, Cam, DOS, Eng-Rus, PLATINUM GREY https://www.link.kg/catalog/1/41488277",*  29166.9 ⊆   *,323 $
